protein1 protein2 combined_score
M6PR RAB9A 600
A2M UBR7 270
A2M MMP11 600
A2M ACOT8 276
A2M STS 282
A2M MMP2 852
A2M AGO2 270
A2M TGFB1 625
A2M SERPINE1 439
A2M MPO 282
A2M C1QBP 270
A2M GAPDH 282
A2M IL4 270
A2M MMP8 600
A2M LRP1 969
A2M APOE 509
A2M CDK7 288
A2M MMP7 600
A2M LOXL1 179
A2M IL1B 875
A2M EED 152
A2M LCAT 451
A2M KLKB1 904
A2M TP63 270
A2M VDAC1 282
A2M TXNL4A 163
A2M ITIH1 153
A2M SERPING1 216
A2M APP 597
A2M ATP6V0D1 282
A2M ALB 717
A2M MMP3 607
A2M KLK1 369
A2M IGF1 256
A2M F2 489
A2M PLG 462
A2M KLK10 180
A2M LEP 270
A2M KLK2 174
A2M B2M 413
A2M TGFB2 574
A2M ELANE 830
A2M CTSB 611
A2M PIGR 266
A2M CTSL 263
A2M SLC25A5 282
A2M F13B 411
A2M ADIPOQ 275
A2M PLAUR 272
A2M MMP9 752
A2M SERPINC1 419
A2M APBB1 270
A2M VEGFA 236
A2M MBL2 275
A2M LDLR 359
A2M APOD 331
A2M NGF 703
A2M CYP2J2 215
A2M MAPT 270
AAAS ANLN 270
AAAS NUP98 600
AAAS CS 161
AAAS POM121 600
AAAS NPM1 600
AAAS NUP153 894
AAAS FN1 256
AAAS ECT2 270
AAAS RNPS1 600
AAAS NUP107 774
AAAS EIF4A3 600
AAAS UBE2I 824
AAAS NUP205 800
AAAS NUP93 800
AAAS RNF4 270
AAAS NXF1 600
AAAS UPF3B 600
AAAS CIT 270
AAAS NUP50 800
AADAT KAT2B 221
AADAT PGD 180
AADAT PSMD14 181
AADAT BCAT1 271
ABAT GSTA3 159
ABAT LGALS1 171
ABAT ACO2 392
ABAT CKM 272
ABAT LAP3 284
ABAT TPI1 392
ABAT GDA 272
ABAT CAT 315
ABAT GSTM2 159
ABAT GOT2 345
ABAT ALDH1A2 284
ABAT LGALS3 171
ABAT PEBP1 392
ABAT ALDH2 284
ABAT HSD17B14 283
ABAT SORD 679
ABAT ALDH1L1 163
ABAT QDPR 283
ABAT CTBP1 181
ABAT ALDH1A1 284
ABAT CKB 272
ABAT CRABP1 188
ABAT ECI1 182
ABAT AGXT 223
ABAT GAA 270
ABAT GSTM1 159
ABAT MSRA 364
ABAT TALDO1 392
ABAT ALDH1A3 230
ABAT MAPT 229
ABAT ALDH3A2 163
ABAT GPX4 237
ABAT ALDH9A1 230
ABAT RAD23B 344
ABAT GPX7 237
ABAT FH 392
ABAT PHGDH 392
ABAT GSTM4 159
ABAT TKTL1 179
